"Date","Plot","Site","A","G","NG","R","SD","veg_height","Site_Plot","Orientation","Altitude"
2018-11-08,"D","SD2",20,65,15,0,0,24,"SD2 D","S","D"
2018-11-08,"D","SM1",10,60,20,10,0,28.4,"SM1 D","S","M"
2018-11-08,"D","SM2",15,40,25,10,10,28.4,"SM2 D","S","M"
2018-11-08,"D","SU1",10,50,35,5,0,7,"SU1 D","S","U"
2018-11-08,"D","SU2",10,50,40,0,0,8.6,"SU2 D","S","U"
2018-11-08,"E","ND1",10,40,40,0,10,42,"ND1 E","N","D"
2018-11-08,"E","ND2",20,20,30,0,30,17.4,"ND2 E","N","D"
2018-11-08,"E","SD1",0,80,20,0,0,52.4,"SD1 E","S","D"
2018-11-08,"E","SD2",10,60,30,0,0,39.6,"SD2 E","S","D"
2018-11-08,"E","SM1",10,55,25,10,0,23.6,"SM1 E","S","M"
2018-11-08,"E","SM2",20,40,30,10,0,23.6,"SM2 E","S","M"
2018-11-08,"E","SU1",5,50,40,5,0,13.8,"SU1 E","S","U"
2018-11-08,"E","SU2",0,50,35,5,10,6.8,"SU2 E","S","U"
2018-12-23,"A","ND1",20,30,40,0,10,53.6,"ND1 A","N","D"
2018-12-23,"A","ND2",10,20,20,0,50,20.2,"ND2 A","N","D"
2018-12-23,"A","SD1",0,50,20,0,30,57.2,"SD1 A","S","D"
2018-12-23,"A","SD2",30,50,20,0,0,66.6,"SD2 A","S","D"
2018-12-23,"A","SM1",15,45,30,10,0,36.6,"SM1 A","S","M"
2018-12-23,"A","SM2",15,45,35,5,0,97.2,"SM2 A","S","M"
2018-12-23,"B","ND1",10,20,30,10,30,21,"ND1 B","N","D"
2018-12-23,"B","ND2",20,10,30,0,40,24.6,"ND2 B","N","D"
2018-12-23,"B","SD1",0,90,10,0,0,92.4,"SD1 B","S","D"
2018-12-23,"B","SD2",20,60,20,0,0,62.2,"SD2 B","S","D"
2018-12-23,"B","SM1",10,50,25,10,5,32.6,"SM1 B","S","M"
2018-12-23,"B","SM2",5,50,35,10,0,35.6,"SM2 B","S","M"
2018-12-23,"C","ND1",10,20,40,10,20,58.4,"ND1 C","N","D"
2018-12-23,"C","ND2",10,15,35,0,40,26,"ND2 C","N","D"
2018-12-23,"C","SD1",10,65,25,0,0,103.2,"SD1 C","S","D"
2018-12-23,"C","SD2",20,60,20,0,0,47.8,"SD2 C","S","D"
2018-12-23,"C","SM1",0,60,30,10,0,43.6,"SM1 C","S","M"
2018-12-23,"C","SM2",20,50,30,0,0,43.2,"SM2 C","S","M"
2018-12-23,"D","ND1",20,35,35,0,10,24.6,"ND1 D","N","D"
2018-12-23,"D","ND2",20,10,30,0,40,35,"ND2 D","N","D"
2018-12-23,"D","SD1",5,70,20,5,0,89,"SD1 D","S","D"
2018-12-23,"D","SD2",15,60,25,0,0,49.6,"SD2 D","S","D"
2018-12-23,"D","SM1",10,60,20,5,5,25.2,"SM1 D","S","M"
2018-12-23,"D","SM2",10,40,30,10,10,33.2,"SM2 D","S","M"
2018-12-23,"E","ND1",10,40,30,5,15,43.8,"ND1 E","N","D"
2018-12-23,"E","ND2",10,10,30,0,50,29.2,"ND2 E","N","D"
2018-12-23,"E","SD1",0,80,20,0,0,97.4,"SD1 E","S","D"
2018-12-23,"E","SD2",10,60,30,0,0,55.4,"SD2 E","S","D"
2018-12-23,"E","SM1",5,60,30,5,0,29.4,"SM1 E","S","M"
2018-12-23,"E","SM2",20,40,30,10,0,46,"SM2 E","S","M"
2018-12-30,"A","NM1",10,35,30,5,20,44.2,"NM1 A","N","M"
2018-12-30,"A","NM2",5,50,40,5,0,39,"NM2 A","N","M"
2018-12-30,"A","NU1",5,60,35,0,0,21.6,"NU1 A","N","U"
2018-12-30,"A","NU2",10,50,40,0,0,23.4,"NU2 A","N","U"
2018-12-30,"A","SU1",10,60,30,0,0,23.6,"SU1 A","S","U"
2018-12-30,"A","SU2",5,45,35,5,10,14,"SU2 A","S","U"
2018-12-30,"B","NM1",5,30,35,5,25,60,"NM1 B","N","M"
2018-12-30,"B","NM2",10,55,25,5,5,62.8,"NM2 B","N","M"
2018-12-30,"B","NU1",5,55,40,0,0,27.4,"NU1 B","N","U"
2018-12-30,"B","NU2",5,50,45,0,0,27.2,"NU2 B","N","U"
2018-12-30,"B","SU1",15,40,35,5,5,19.4,"SU1 B","S","U"
2018-12-30,"B","SU2",5,50,35,5,5,13,"SU2 B","S","U"
2018-12-30,"C","NM1",10,40,35,5,10,40,"NM1 C","N","M"
2018-12-30,"C","NM2",5,50,40,0,5,32.6,"NM2 C","N","M"
2018-12-30,"C","NU1",10,50,40,0,0,30.6,"NU1 C","N","U"
2018-12-30,"C","NU2",10,55,35,0,0,31.6,"NU2 C","N","U"
2018-12-30,"C","SU1",20,40,40,0,0,15.2,"SU1 C","S","U"
2018-12-30,"C","SU2",5,50,35,0,10,15.6,"SU2 C","S","U"
2018-12-30,"D","NM1",5,40,35,5,15,44.6,"NM1 D","N","M"
2018-12-30,"D","NM2",10,55,35,0,0,44,"NM2 D","N","M"
2018-12-30,"D","NU1",10,40,40,10,0,28.6,"NU1 D","N","U"
2018-12-30,"D","NU2",10,45,35,10,0,18.8,"NU2 D","N","U"
2018-12-30,"D","SU1",10,60,30,0,0,22.6,"SU1 D","S","U"
2018-12-30,"D","SU2",5,50,45,0,0,15,"SU2 D","S","U"
2018-12-30,"E","NM1",10,45,40,0,5,47,"NM1 E","N","M"
2018-12-30,"E","NM2",10,45,35,5,5,42.4,"NM2 E","N","M"
2018-12-30,"E","NU1",5,50,40,5,0,21.8,"NU1 E","N","U"
2018-12-30,"E","NU2",10,35,30,5,20,17.6,"NU2 E","N","U"
2018-12-30,"E","SU1",5,65,25,5,0,23.8,"SU1 E","S","U"
2018-12-30,"E","SU2",5,50,40,0,5,19.4,"SU2 E","S","U"
2019-02-12,"A","ND1",20,40,30,0,10,31.2,"ND1 A","N","D"
2019-02-12,"A","ND2",10,20,10,10,50,29,"ND2 A","N","D"
2019-02-12,"A","SD1",5,65,20,0,10,109.6,"SD1 A","S","D"
2019-02-12,"A","SD2",20,35,25,0,20,95.6,"SD2 A","S","D"
2019-02-12,"A","SM1",10,45,30,10,5,65.8,"SM1 A","S","M"
2019-02-12,"A","SM2",10,50,35,5,0,64.4,"SM2 A","S","M"
2019-02-12,"B","ND1",10,30,20,10,30,18,"ND1 B","N","D"
2019-02-12,"B","ND2",20,30,30,0,20,43.4,"ND2 B","N","D"
2019-02-12,"B","SD1",0,90,10,0,0,111.2,"SD1 B","S","D"
2019-02-12,"B","SD2",5,60,35,0,0,82,"SD2 B","S","D"
2019-02-12,"B","SM1",15,40,25,5,15,39,"SM1 B","S","M"
2019-02-12,"B","SM2",10,45,30,5,10,51.8,"SM2 B","S","M"
2019-02-12,"C","ND1",10,40,20,10,20,52.6,"ND1 C","N","D"
2019-02-12,"C","ND2",20,30,20,0,30,17,"ND2 C","N","D"
2019-02-12,"C","SD1",10,65,20,0,5,80.6,"SD1 C","S","D"
